ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;VidyutVanika_mwh; VidyutVanika_price ;Bunnie_mwh; Bunnie_price 
432; 2; 0;[0.0000; 0.0000];[0.2157; -28.5000];[0.0000; 0.0000];[10.2500; -48.0928];[6.1274; -29.0933]
433; 2; 1;[0.0000; 0.0000];[5.6505; -36.9560];[0.0000; 0.0000];[10.0249; -40.7597];[10.7391; -27.2705]
434; 2; 2;[0.0000; 0.0000];[4.3387; -31.5837];[0.0000; 0.0000];[5.0287; -62.4594];[14.7759; -25.4863]
435; 2; 3;[0.0000; 0.0000];[7.5758; -31.8901];[0.0000; 0.0000];[5.7265; -72.1708];[23.1783; -34.8219]
436; 2; 4;[0.0000; 0.0000];[9.0043; -30.8482];[1.4608; -10.8155];[7.5930; -62.1371];[26.3933; -27.3045]
437; 2; 5;[0.0000; 0.0000];[5.1229; -30.8653];[1.8481; -25.9382];[8.5237; -60.5083];[22.6667; -25.8028]
438; 2; 6;[0.0000; 0.0000];[6.2263; -29.2493];[0.0000; 0.0000];[6.8401; -53.6931];[16.6147; -26.5512]
439; 2; 7;[0.0000; 0.0000];[5.7170; -28.7606];[0.0000; 0.0000];[8.9082; -48.2195];[15.2484; -27.9168]
440; 2; 8;[0.0000; 0.0000];[4.6469; -31.0455];[3.2413; -18.4794];[7.6804; -45.1568];[7.5444; -28.1072]
441; 2; 9;[0.0000; 0.0000];[3.1938; -31.6667];[0.0000; 0.0000];[6.0998; -50.7582];[8.4331; -29.3442]
442; 2; 10;[0.0000; 0.0000];[2.0224; -31.6667];[0.0000; 0.0000];[5.4725; -35.4496];[4.8566; -30.4630]
443; 2; 11;[0.0000; 0.0000];[0.6593; -31.6667];[0.0000; 0.0000];[5.0274; -74.3777];[3.4276; -31.0919]
444; 2; 12;[0.0000; 0.0000];[0.8289; -31.6667];[0.0000; 0.0000];[4.5214; -59.1000];[1.9457; -30.7177]
445; 2; 13;[0.0000; 0.0000];[0.1787; -31.6667];[5.0000; -39.7784];[5.4763; -82.9545];[16.3116; -33.3280]
446; 2; 14;[0.0000; 0.0000];[4.4772; -2.0707];[0.0000; 0.0000];[4.3061; -64.4366];[29.7115; -2.0707]
447; 2; 15;[0.0000; 0.0000];[3.0315; -10.6964];[0.0000; 0.0000];[4.1888; -38.1816];[29.7319; -10.6964]
448; 2; 16;[0.0000; 0.0000];[3.4462; -28.5000];[-0.1201; 2811.6776];[3.0657; -97.9203];[31.5099; -28.5000]
449; 2; 17;[0.0000; 0.0000];[2.7073; -29.0321];[0.0000; 0.0000];[4.4041; -67.3883];[31.5577; -29.6257]
450; 2; 18;[0.0000; 0.0000];[3.4849; -10.2416];[-1.7146; 951.2229];[4.3728; -66.6712];[28.1567; -30.1438]
451; 2; 19;[0.0000; 0.0000];[2.7076; -6.3611];[2.8426; 278.5393];[4.1909; -11.3284];[28.8015; -33.3683]
452; 2; 20;[0.0000; 0.0000];[2.6798; -0.9046];[3.6012; 100.4158];[1.7864; 266.3345];[25.8133; -33.0745]
453; 2; 21;[0.0000; 0.0000];[2.4478; -4.0933];[-1.2799; 956.0292];[1.9868; 21.2772];[25.2599; -32.0093]
454; 2; 22;[0.0000; 0.0000];[2.1617; -0.1782];[-1.2550; 483.8275];[1.4708; 15.6415];[22.9241; -29.7599]
455; 2; 23;[0.0000; 0.0000];[1.9565; -24.2749];[-1.2325; 415.2268];[1.4561; 18.8909];[23.5514; -29.6974]
